year,gender,insomnia_freq,sleep_cat,awakenings_freq,sleep_quality_cat,concentration_freq,fatigue_freq,skip_classes_freq,deadline_impact_cat,screen_freq_cat,caffeine_freq_cat,activity_freq_cat,stress_cat,performance_cat,screen_freq,sleep_hours,sleep_ord,caffeine,activity,stress,sleep_quality,insomnia,awakenings,concentration,fatigue,skip_classes,deadline_impact,performance
First year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Rarely,Never,Sometimes (1-2 times a week),Minor impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,3,4,4,5,4,5,2,1,3,2,2
Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,7.5,4,4,3,3,5,4,3,5,3,3,3,2
Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Sometimes,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average,4,7.5,4,4,3,2,5,3,4,5,3,3,3,2
Graduate student,Male,Rarely (1-2 times a week),7-8 hours,Every night,Very good,Sometimes,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor,4,7.5,4,4,5,2,5,2,5,3,4,5,4,1
Graduate student,Female,Rarely (1-2 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,2,4,3,4,2,3,4,4,2,4,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Always,Major impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,3,8.5,5,5,3,3,3,4,4,4,3,5,4,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Often,Often,Rarely (1-2 times a month),Minor impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Poor,2,7.5,4,3,3,3,3,4,4,4,4,2,2,1
Third year,Male,Sometimes (3-4 times a week),6-7 hours,Often (5-6 times a week),Very good,Rarely,Sometimes,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Low stress,Below Average,3,6.5,3,3,3,2,5,3,4,2,3,3,2,2
Third year,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Sometimes,Often,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,3,4,3,5,3,4,3,4,2,4,2
Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Every night,Poor,Rarely,Sometimes,Often (3-4 times a week),Moderate impact,Every night,Rarely (1-2 times a week),Rarely (1-2 times a week),Extremely high stress,Poor,5,8.5,5,2,2,4,2,3,5,2,3,4,3,1
Third year,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Often,Sometimes,Sometimes (1-2 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,5,3,5,4,3,3,5,2
Graduate student,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Always,Rarely,Rarely (1-2 times a month),Severe impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,3,7.5,4,3,4,3,4,4,3,5,2,2,5,1
Third year,Female,Rarely (1-2 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),No stress,Below Average,4,8.5,5,4,4,1,5,2,4,4,3,4,5,2
Graduate student,Female,Sometimes (3-4 times a week),More than 8 hours,Often (5-6 times a week),Average,Rarely,Rarely,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Good,3,8.5,5,3,3,3,3,3,4,2,2,4,3,4
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Often,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,3,8.5,5,5,3,3,3,4,4,4,4,4,2,1
Third year,Male,Every night,More than 8 hours,Every night,Very good,Sometimes,Often,Always,Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,5,8.5,5,4,4,3,5,5,5,3,4,5,3,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,4,7.5,4,4,4,4,5,4,4,5,5,5,4,1
Graduate student,Male,Every night,7-8 hours,Every night,Very good,Often,Always,Always,Severe impact,Every night,Every day,Often (5-6 times a week),Extremely high stress,Poor,5,7.5,4,5,4,4,5,5,5,4,5,5,5,1
Graduate student,Female,Every night,7-8 hours,Every night,Average,Always,Sometimes,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Low stress,Poor,4,7.5,4,5,4,2,3,5,5,5,3,5,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Average,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,4,7.5,4,4,5,4,3,4,5,3,3,4,4,2
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,5,4,4,5,5,4,4,5,4,4,1
Third year,Female,Every night,More than 8 hours,Every night,Good,Always,Often,Sometimes (1-2 times a week),Major impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,5,8.5,5,4,4,3,4,5,5,5,4,3,4,2
Graduate student,Male,Every night,More than 8 hours,Every night,Good,Often,Sometimes,Always,Moderate impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average,4,8.5,5,5,4,3,4,5,5,4,3,5,3,2
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Poor,3,7.5,4,4,4,3,4,4,4,5,4,4,3,1
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Very good,Often,Often,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor,4,7.5,4,4,5,2,5,5,4,4,4,5,4,1
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Always,Severe impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),No stress,Poor,3,8.5,5,3,4,1,5,4,5,4,4,5,5,1
Third year,Female,Every night,7-8 hours,Every night,Very good,Sometimes,Sometimes,Often (3-4 times a week),Severe impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,3,7.5,4,5,3,3,5,5,5,3,3,4,5,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Sometimes (1-2 times a week),Major impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,High stress,Below Average,3,8.5,5,4,5,3,4,4,5,5,5,3,4,2
Second year,Female,Every night,More than 8 hours,Every night,Good,Often,Always,Always,Minor impact,Often (5-6 times a week),Every day,Sometimes (3-4 times a week),High stress,Poor,4,8.5,5,5,3,3,4,5,5,4,5,5,2,1
Second year,Female,Never,7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Minor impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,5,7.5,4,4,3,3,4,1,4,4,4,3,2,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Always,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,8.5,5,5,4,4,4,4,5,5,5,5,4,1
Third year,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Poor,4,7.5,4,4,5,3,5,5,3,4,5,4,3,1
Third year,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Often,Often,Always,Severe impact,Sometimes (3-4 times a week),Every day,Sometimes (3-4 times a week),Extremely high stress,Below Average,3,7.5,4,5,3,4,4,4,5,4,4,5,5,2
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Always,Sometimes (1-2 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Every day,Extremely high stress,Poor,3,8.5,5,3,5,4,4,4,4,4,5,3,2,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Every night,Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Every day,Low stress,Below Average,5,7.5,4,4,5,2,4,4,5,3,3,4,4,2
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,Low stress,Poor,4,8.5,5,4,5,2,5,4,4,4,5,5,4,1
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Always,Always,Rarely (1-2 times a month),Major impact,Often (5-6 times a week),Every day,Every day,Extremely high stress,Poor,4,7.5,4,5,5,4,5,3,5,5,5,2,4,1
Third year,Female,Every night,7-8 hours,Often (5-6 times a week),Good,Rarely,Sometimes,Often (3-4 times a week),Minor impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,4,7.5,4,4,3,3,4,5,4,2,3,4,2,1
Second year,Male,Often (5-6 times a week),7-8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Every day,High stress,Below Average,4,7.5,4,3,5,3,5,4,5,4,4,4,4,2
Graduate student,Female,Every night,More than 8 hours,Every night,Good,Sometimes,Sometimes,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Rarely (1-2 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,2,4,3,4,5,5,3,3,3,4,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Major impact,Every night,Every day,Every day,Low stress,Poor,5,7.5,4,5,5,2,4,5,4,3,4,3,4,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Often,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Below Average,2,7.5,4,3,4,3,3,4,4,3,4,4,3,2
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Sometimes (3-4 times a week),Very good,Sometimes,Sometimes,Sometimes (1-2 times a week),Moderate impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Often (5-6 times a week),Low stress,Below Average,3,8.5,5,2,4,2,5,4,3,3,3,3,3,2
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Below Average,4,8.5,5,5,4,3,4,4,4,4,4,4,4,2
Third year,Male,Every night,7-8 hours,Every night,Good,Often,Often,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor,3,7.5,4,4,3,2,4,5,5,4,4,4,3,1
Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Rarely,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,3,4,4,2,4,5,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Often (5-6 times a week),Every day,High stress,Average,4,8.5,5,4,5,3,5,4,5,4,5,5,4,3
Third year,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Average,Often,Sometimes,Sometimes (1-2 times a week),Moderate impact,Rarely (1-2 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Below Average,2,8.5,5,4,3,2,3,4,4,4,3,3,3,2
Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Often,Often,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,4,7.5,4,4,3,3,4,4,3,4,4,4,3,1
Third year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Sometimes (3-4 times a week),Every day,Every day,High stress,Below Average,3,8.5,5,5,5,3,4,4,5,4,3,4,3,2
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Average,Sometimes,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,7.5,4,3,3,3,3,4,4,3,3,4,3,2
Graduate student,Male,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Sometimes,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),Low stress,Below Average,3,7.5,4,3,4,2,4,3,4,3,3,4,4,2
Third year,Male,Every night,7-8 hours,Sometimes (3-4 times a week),Very good,Often,Sometimes,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,5,5,3,4,3,4,3,2
Graduate student,Female,Every night,More than 8 hours,Every night,Very good,Always,Often,Often (3-4 times a week),Moderate impact,Rarely (1-2 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,2,8.5,5,3,3,3,5,5,5,5,4,4,3,2
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Every night,Very good,Never,Rarely,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),Extremely high stress,Below Average,4,7.5,4,3,3,4,5,3,5,1,2,3,3,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Sometimes,Often,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,5,4,3,4,3,3,2
Graduate student,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Severe impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,5,7.5,4,4,4,3,4,5,4,5,4,4,5,2
Graduate student,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Very good,Always,Often,Often (3-4 times a week),Major impact,Sometimes (3-4 times a week),Rarely (1-2 times a week),Sometimes (3-4 times a week),Low stress,Average,3,7.5,4,2,3,2,5,3,4,5,4,4,4,3
Third year,Male,Every night,7-8 hours,Often (5-6 times a week),Good,Often,Sometimes,Often (3-4 times a week),Major impact,Rarely (1-2 times a week),Often (5-6 times a week),Often (5-6 times a week),Low stress,Poor,2,7.5,4,4,4,2,4,5,4,4,3,4,4,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Very good,Often,Always,Always,Major impact,Often (5-6 times a week),Every day,Often (5-6 times a week),Extremely high stress,Poor,4,7.5,4,5,4,4,5,4,4,4,5,5,4,1
Graduate student,Male,Every night,More than 8 hours,Every night,Very good,Often,Often,Often (3-4 times a week),Minor impact,Sometimes (3-4 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,3,8.5,5,3,4,3,5,5,5,4,4,4,2,1
Third year,Female,Often (5-6 times a week),7-8 hours,Sometimes (3-4 times a week),Good,Always,Always,Often (3-4 times a week),Moderate impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Below Average,4,7.5,4,4,4,4,4,4,3,5,5,4,3,2
Second year,Female,Often (5-6 times a week),More than 8 hours,Every night,Good,Sometimes,Always,Sometimes (1-2 times a week),Moderate impact,Often (5-6 times a week),Every day,Often (5-6 times a week),High stress,Poor,4,8.5,5,5,4,3,4,4,5,3,5,3,3,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Sometimes (3-4 times a week),High stress,Below Average,4,7.5,4,3,3,3,4,4,4,4,4,4,4,2
Third year,Male,Every night,7-8 hours,Every night,Good,Sometimes,Sometimes,Never,Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,7.5,4,4,4,3,4,5,5,3,3,1,4,2
Graduate student,Male,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Good,Sometimes,Often,Often (3-4 times a week),Major impact,Often (5-6 times a week),Sometimes (3-4 times a week),Often (5-6 times a week),High stress,Poor,4,8.5,5,3,4,3,4,4,4,3,4,4,4,1
Graduate student,Female,Often (5-6 times a week),More than 8 hours,Every night,Very good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,4,8.5,5,4,4,3,5,4,5,4,4,3,4,2
Third year,Female,Often (5-6 times a week),More than 8 hours,Often (5-6 times a week),Very good,Often,Often,Sometimes (1-2 times a week),Moderate impact,Every night,Often (5-6 times a week),Often (5-6 times a week),High stress,Below Average,5,8.5,5,4,4,3,5,4,4,4,4,3,3,2
Graduate student,Female,Every night,More than 8 hours,Often (5-6 times a week),Good,Always,Always,Always,Severe impact,Sometimes (3-4 times a week),Often (5-6 times a week),Every day,Extremely high stress,Below Average,3,8.5,5,4,5,4,4,5,4,5,5,5,5,2
Third year,Female,Sometimes (3-4 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Always,Often (3-4 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Often (5-6 times a week),Extremely high stress,Poor,4,7.5,4,4,4,4,4,3,4,4,5,4,4,1
Third year,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Always,Often,Often (3-4 times a week),Major impact,Every night,Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,5,7.5,4,4,3,3,4,4,4,5,4,4,4,1
Third year,Female,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Sometimes,Always,Often (3-4 times a week),Severe impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),High stress,Poor,4,7.5,4,4,3,3,4,4,4,3,5,4,5,1
Graduate student,Male,Often (5-6 times a week),7-8 hours,Often (5-6 times a week),Good,Often,Often,Sometimes (1-2 times a week),Major impact,Often (5-6 times a week),Often (5-6 times a week),Sometimes (3-4 times a week),Low stress,Poor,4,7.5,4,4,3,2,4,4,4,4,4,3,4,1
